ID,Language_ID,Headword,Part_Of_Speech,MiddleChinese,OCBS,Example_IDS
368,OldChinese,瀰,,,,681
369,OldChinese,鮮,,,,683
370,OldChinese,洒,,,,684
371,OldChinese,浼,,,,685
372,OldChinese,殄,,,,687 5090
373,OldChinese,離,,,,689 1079 1089 1089 1099 1099 1159 3008
374,OldChinese,施,,,,691 1232 1232
375,OldChinese,景,,,,693
376,OldChinese,養,,,,695
377,OldChinese,逝,,,,697 1743 1804 2199 4523 5896
378,OldChinese,河,,,,701 735 3745 7196
379,OldChinese,儀,,,,703 819 820 2560 3010 3032 3395 4619 5470 5887 5916
380,OldChinese,它,,,,704
381,OldChinese,天,,,,705 712 1087 1097 1107 1872 2100 2112 2124 3118 3262 3452 3641 3672 3679 3752 3916 3965 4113 4731 4937 4987 5026 5115 5130 5520 5654 5969 6076 6156 6450 6474 6641 6714
382,OldChinese,特,,,,710 1759 2097 3342 3543
383,OldChinese,慝,,,,711 5697 6481
384,OldChinese,埽,,,,715 1830 2729
385,OldChinese,道,,,,717 718 1541 2188 3729 3795 4935 5388 6284 6970
386,OldChinese,醜,,,,719 3134 3178 3591 6971
387,OldChinese,襄,,,,721 1304 2854 4071 4072
388,OldChinese,詳,,,,723 724
389,OldChinese,長,,,,725 1650 2061 3868 4067 5582 5631 7204
390,OldChinese,讀,,,,729 730
391,OldChinese,辱,,,,731
392,OldChinese,珈,,,,733
393,OldChinese,佗,,,,734 3842
394,OldChinese,宜,,,,736 1241 1361 4449 4473 5109 5494 7059 7197
395,OldChinese,何,,,,738 2132 2138 2144 2278 2562 2807 2809 3376 3441 3792 3794 3896 3898 4487 4805 4853 5467 7198
396,OldChinese,髢,,,,742
397,OldChinese,揥,,,,744 1675
398,OldChinese,皙,,,,745
399,OldChinese,帝,,,,747 4981 5785 5787 7056
400,OldChinese,展,,,,749
401,OldChinese,袢,,,,751
402,OldChinese,顏,,,,753 5904
403,OldChinese,媛,,,,755
404,OldChinese,唐,,,,756
405,OldChinese,鄉,,,,757 3107 7257
406,OldChinese,姜,,,,759 1376 1382 2210
407,OldChinese,麥,,,,763 869 1233 1780 2476 7022
408,OldChinese,北,,,,764 3973 5337
409,OldChinese,弋,,,,766
410,OldChinese,葑,,,,770 1990
411,OldChinese,庸,,,,773 1186 1588 1589 6174 7049
412,OldChinese,鶉,,,,777 782 1768
413,OldChinese,奔,,,,777 777 782 782 1224
414,OldChinese,彊,,,,778 778 781 781
415,OldChinese,兄,,,,780 1265 1733 3319 5201
416,OldChinese,君,,,,784
417,OldChinese,栗,,,,789 1436 1836 2003 5395 6840 6840
418,OldChinese,漆,,,,790 1835 2002 5050
419,OldChinese,瑟,,,,791 1838 2005
420,OldChinese,虛,,,,792
421,OldChinese,堂,,,,794 1422 1554 1795 1803 1811 2087 2298 2492
422,OldChinese,京,,,,795 2393 3499 3499 4371 4971 5001 5028 5230 5289 5341 5565
423,OldChinese,桑,,,,796 1263 1685 1930 2008 2105 2423 2430 2433 2947 3314
424,OldChinese,零,,,,799
